chr	cell	z	score	p	p.adj	monosomy
E6.1	1	E6.1.72	0.420670726395658	1.01220576091663	0.674265267663777	0.99988732546058	FALSE
E6.2	10	E6.1.72	1.58904967127156	1.08611159655532	0.112992464641282	0.652402832019703	FALSE
E6.3	11	E6.1.72	5.08114919225357	1.26882636591213	6.24641293679816e-07	5.70043017639655e-05	FALSE
E6.4	12	E6.1.72	-1.22588233004824	0.95210089964496	0.221104018841267	0.82534088965476	TRUE
E6.5	13	E6.1.72	-1.65010085749809	0.890500010071011	0.0998595404048701	0.61932376654817	TRUE
E6.6	14	E6.1.72	-0.122130857397187	0.9982853327427	0.902868613861276	0.99988732546058	TRUE
E6.7	15	E6.1.72	6.80711624214674	1.42277026311316	4.61007148586535e-11	7.57281076078148e-09	FALSE
E6.8	16	E6.1.72	2.54048324897176	1.20125649906297	0.0115208655482081	0.171698060750714	FALSE
E6.9	17	E6.1.72	2.01858403355362	1.11124300768253	0.0443269098550923	0.423330557827892	FALSE
E6.10	18	E6.1.72	-3.83533835884711	0.693567089127865	0.000149807430471097	0.00632786586309913	TRUE
E6.11	19	E6.1.72	3.30042676549629	1.37986654667717	0.00106931591506112	0.0291674658455049	FALSE
E6.12	2	E6.1.72	5.33560663786408	1.22415221181574	1.75748569320908e-07	1.70938608476336e-05	FALSE
E6.13	20	E6.1.72	-0.0773306650270851	0.983463518462053	0.938406661950781	0.99988732546058	TRUE
E6.14	21	E6.1.72	-0.0237391090954917	1.00202458424912	0.981074844049778	0.99988732546058	TRUE
E6.15	22	E6.1.72	2.96870092943789	1.27683339176185	0.00320610060129654	0.0691848103478156	FALSE
E6.16	3	E6.1.72	-4.53684194672405	0.768449576504799	7.96716854670569e-06	0.000550404765394845	TRUE
E6.17	4	E6.1.72	-4.09987317536079	0.726375879386457	5.1925259064533e-05	0.00254193056294721	TRUE
E6.18	5	E6.1.72	-2.76708043532858	0.901812019029164	0.00597020210953566	0.11060584960824	TRUE
E6.19	6	E6.1.72	-3.54559745986478	0.807315146433122	0.000447464678892225	0.0143811256798753	TRUE
E6.20	7	E6.1.72	0.0272404111658449	1.0017146672573	0.978284204067455	0.99988732546058	FALSE
E6.21	8	E6.1.72	-3.36275298552567	0.795202756079877	0.000860999216506276	0.024478870032363	TRUE
E6.22	9	E6.1.72	-0.808128674497998	0.972391971912333	0.419589993616424	0.982544881217285	TRUE
E6.23	1	E6.1.73	-0.926545622711027	0.969413580795498	0.354829515396056	0.954763443601345	TRUE
E6.24	10	E6.1.73	-0.179499724622508	0.988736443340952	0.857653853203383	0.99988732546058	TRUE
E6.25	11	E6.1.73	-1.66591157271034	0.91468418304069	0.0966657810167945	0.612930785912873	TRUE
E6.26	12	E6.1.73	-0.00174272227724637	1.00513879657297	0.998610546797992	0.99988732546058	TRUE
E6.27	13	E6.1.73	0.0152954110919486	1.01523178765019	0.987805608569631	0.99988732546058	FALSE
E6.28	14	E6.1.73	1.14566567461222	1.06488928815649	0.252751262340567	0.863372149362973	FALSE
E6.29	15	E6.1.73	4.12884662106386	1.25852124147759	4.60755834296119e-05	0.00228584370947444	FALSE
E6.30	16	E6.1.73	4.3510715986717	1.34865827335715	1.80106540718746e-05	0.0011002872305727	FALSE
E6.31	17	E6.1.73	2.86598868581586	1.16355033289373	0.00441986188511032	0.0866621195085821	FALSE
E6.32	18	E6.1.73	-1.86944422837373	0.849675969207323	0.0624332649487196	0.501093045060733	TRUE
E6.33	19	E6.1.73	3.33750275920727	1.38410522074241	0.00094036829863023	0.0261323400882506	FALSE
E6.34	2	E6.1.73	4.42726928851624	1.18590328042544	1.29324815385528e-05	0.000845990296752054	FALSE
E6.35	20	E6.1.73	2.09155769202004	1.10423090991143	0.0372308236458212	0.383835771812986	FALSE
E6.36	21	E6.1.73	0.132085697931015	1.02029867010198	0.89499580387693	0.99988732546058	FALSE
E6.37	22	E6.1.73	3.68590593604398	1.34598056190237	0.000265711015708813	0.00987002928703291	FALSE
E6.38	3	E6.1.73	-2.76441977667709	0.856787728898139	0.00601799279102879	0.111126480531669	TRUE
E6.39	4	E6.1.73	-3.57569273359835	0.761325655831139	0.00040069017478531	0.0132820707265157	TRUE
E6.40	5	E6.1.73	-3.27042154124444	0.883517429170764	0.00118550274946404	0.0317508562465151	TRUE
E6.41	6	E6.1.73	-1.43652674681969	0.922084933719152	0.151785720651539	0.729369040076228	TRUE
E6.42	7	E6.1.73	-0.729843320218445	0.971820832891097	0.465995986711874	0.987569900233189	TRUE
E6.43	8	E6.1.73	-2.13868672514375	0.867955006391642	0.0331838539076455	0.35809496070849	TRUE
E6.44	9	E6.1.73	-0.424495967775731	0.994861203427026	0.671476632086848	0.99988732546058	TRUE
E6.45	1	E6.1.74	-1.79611174973518	0.941793198694639	0.0733776691029455	0.537569603576782	TRUE
E6.46	10	E6.1.74	0.313005023917517	1.01585342715787	0.754471617959652	0.99988732546058	FALSE
E6.47	11	E6.1.74	-2.26965995746493	0.882994417922168	0.0238633558156651	0.286360269787981	TRUE
E6.48	12	E6.1.74	2.02191512132791	1.09281715894713	0.0439796441663455	0.421110789737858	FALSE
E6.49	13	E6.1.74	1.42696771449402	1.12096061572766	0.154520568343484	0.73140609053986	FALSE
E6.50	14	E6.1.74	0.564233472615841	1.03434362607258	0.57297280817561	0.99988732546058	FALSE
E6.51	15	E6.1.74	2.60098883476433	1.16482300265109	0.00970767165945527	0.155322746551284	FALSE
E6.52	16	E6.1.74	1.2563263070971	1.09671202227127	0.209873071106789	0.810045019207111	FALSE
E6.53	17	E6.1.74	0.0110108672617945	0.98732253802948	0.991221330740992	0.99988732546058	FALSE
E6.54	18	E6.1.74	0.0337116210745059	1.00080289088062	0.973127188953042	0.99988732546058	FALSE
E6.55	19	E6.1.74	-0.0166903074068193	1.00064061903535	0.986693615328941	0.99988732546058	TRUE
E6.56	2	E6.1.74	3.53845514594532	1.1484764464608	0.000459293390190988	0.0146973884861116	FALSE
E6.57	20	E6.1.74	-0.953429417318137	0.934680850316658	0.341059974030962	0.943271755980018	TRUE
E6.58	21	E6.1.74	-0.658629608736014	0.927568894433172	0.510586052931753	0.99988732546058	TRUE
E6.59	22	E6.1.74	1.2193086385373	1.10817097966599	0.223584879112386	0.828415633065935	FALSE
E6.60	3	E6.1.74	-2.95602729994837	0.847237941676734	0.00333727763012506	0.0706852614380644	TRUE
E6.61	4	E6.1.74	-1.09758056603072	0.926553999662758	0.273175966415041	0.886442819903418	TRUE
E6.62	5	E6.1.74	-1.45511476183004	0.949497124860691	0.146573877782414	0.719438316445954	TRUE
E6.63	6	E6.1.74	-0.549711082826663	0.970342986182195	0.58288383369045	0.99988732546058	TRUE
E6.64	7	E6.1.74	-0.0324089771687989	0.999359380964645	0.974165203874279	0.99988732546058	TRUE
E6.65	8	E6.1.74	0.79022591761514	1.04203462334048	0.429954859724691	0.982544881217285	FALSE
E6.66	9	E6.1.74	-0.884333118759915	0.967928704650272	0.377150656862919	0.964758379546395	TRUE
E6.67	1	E6.1.78	-2.14242930164689	0.930792973622889	0.0328793349144848	0.355844799331999	TRUE
E6.68	10	E6.1.78	0.974490791603881	1.05227439347475	0.33051604131169	0.936503351799048	FALSE
E6.69	11	E6.1.78	-0.462156243968934	0.977867331171992	0.644269278677174	0.99988732546058	TRUE
E6.70	12	E6.1.78	1.93623334836758	1.08910485275751	0.0536800120584116	0.470893633523031	FALSE
E6.71	13	E6.1.78	0.750995143187746	1.07033286904418	0.453182781853431	0.987569900233189	FALSE
E6.72	14	E6.1.78	1.14826197732668	1.06502568546147	0.251679701449078	0.863098711086933	FALSE
E6.73	15	E6.1.78	1.95873315940495	1.12543568126744	0.0509733735858022	0.456721427328788	FALSE
E6.74	16	E6.1.78	2.64548400246884	1.20980471344326	0.00854196937634092	0.140680270526858	FALSE
E6.75	17	E6.1.78	-0.040606483755092	0.984136379493563	0.967633804541015	0.99988732546058	TRUE
E6.76	18	E6.1.78	-0.133578287352287	0.987518635208713	0.893816261560679	0.99988732546058	TRUE
E6.77	19	E6.1.78	0.0857024503621912	1.01234656359364	0.931754151634727	0.99988732546058	FALSE
E6.78	2	E6.1.78	0.608480101011796	1.02509892097492	0.543281443061653	0.99988732546058	FALSE
E6.79	20	E6.1.78	-0.542590348864485	0.957557068191786	0.587772662472941	0.99988732546058	TRUE
E6.80	21	E6.1.78	-0.730699393421381	0.919117034566512	0.465473506655182	0.987569900233189	TRUE
E6.81	22	E6.1.78	-0.671885628850848	0.925837155206675	0.502119595336695	0.998735736492191	TRUE
E6.82	3	E6.1.78	-1.41622719296322	0.923982127573783	0.157638125481556	0.736574604020013	TRUE
E6.83	4	E6.1.78	0.173123604233459	1.01127831049117	0.862658826023253	0.99988732546058	FALSE
E6.84	5	E6.1.78	0.913349154442523	1.03558203911339	0.361715795197749	0.957125871694539	FALSE
E6.85	6	E6.1.78	-0.146302502955981	0.992295363888048	0.883770587830688	0.99988732546058	TRUE
E6.86	7	E6.1.78	-1.28150500154216	0.950038192155286	0.20090263329768	0.799715813320653	TRUE
E6.87	8	E6.1.78	-0.475547504915497	0.966803512203416	0.63470671463247	0.99988732546058	TRUE
E6.88	9	E6.1.78	-0.20521117197388	1.00770463611195	0.837531775757194	0.99988732546058	TRUE
E6.89	1	E6.1.79	-1.52065218348994	0.950542732785931	0.129290410323117	0.685100152765938	TRUE
E6.90	10	E6.1.79	-0.147640465098594	0.990490592976037	0.882715337757684	0.99988732546058	TRUE
E6.91	11	E6.1.79	0.715440871147481	1.0396774774591	0.474834999824295	0.99376566214643	FALSE
