ngenes	zeros	residual
ENSG00000000419	2725	0	0.133633875003912
ENSG00000002834	2725	0	0.133633875003912
ENSG00000003402	2725	0	0.133633875003912
ENSG00000003509	2725	0	0.133633875003912
ENSG00000003756	2725	0.0303030303030303	0.133633875003912
ENSG00000004059	2725	0.0151515151515152	0.133633875003912
ENSG00000004142	2725	0.0303030303030303	0.133633875003912
ENSG00000004455	2725	0	0.133633875003912
ENSG00000004478	2725	0	0.133633875003912
ENSG00000004487	2725	0.0303030303030303	0.133633875003912
ENSG00000004534	2725	0	0.133633875003912
ENSG00000004779	2725	0	0.133633875003912
ENSG00000004897	2725	0.0151515151515152	0.133633875003912
ENSG00000005075	2725	0	0.133633875003912
ENSG00000005194	2725	0	0.133633875003912
ENSG00000005339	2725	0.0606060606060606	0.133633875003912
ENSG00000005801	2725	0.0151515151515152	0.133633875003912
ENSG00000006007	2725	0	0.133633875003912
ENSG00000006125	2725	0	0.133633875003912
ENSG00000006451	2725	0.0151515151515152	0.133633875003912
ENSG00000006712	2725	0.0151515151515152	0.133633875003912
ENSG00000006744	2725	0	0.133633875003912
ENSG00000007062	2725	0.0151515151515152	0.133633875003912
ENSG00000007080	2725	0	0.133633875003912
ENSG00000007168	2725	0	0.133633875003912
ENSG00000007202	2725	0	0.133633875003912
ENSG00000007392	2725	0	0.133633875003912
ENSG00000007923	2725	0	0.133633875003912
ENSG00000008018	2725	0	0.133633875003912
ENSG00000008083	2725	0	0.133633875003912
ENSG00000008130	2725	0.0151515151515152	0.133633875003912
ENSG00000008324	2725	0	0.133633875003912
ENSG00000008513	2725	0	0.133633875003912
ENSG00000008952	2725	0	0.133633875003912
ENSG00000008988	2725	0	0.133633875003912
ENSG00000009307	2725	0	0.133633875003912
ENSG00000009844	2725	0	0.133633875003912
ENSG00000009954	2725	0	0.133633875003912
ENSG00000010244	2725	0	0.133633875003912
ENSG00000010256	2725	0	0.133633875003912
ENSG00000010278	2725	0	0.133633875003912
ENSG00000010292	2725	0	0.133633875003912
ENSG00000011007	2725	0	0.133633875003912
ENSG00000011009	2725	0.0303030303030303	0.133633875003912
ENSG00000011052	2725	0.151515151515152	0.133633875003912
ENSG00000011260	2725	0	0.133633875003912
ENSG00000011304	2725	0	0.133633875003912
ENSG00000013275	2725	0	0.133633875003912
ENSG00000013306	2725	0	0.133633875003912
ENSG00000013441	2725	0.0454545454545455	0.133633875003912
ENSG00000013810	2725	0	0.133633875003912
ENSG00000014216	2725	0	0.133633875003912
ENSG00000014641	2725	0	0.133633875003912
ENSG00000015479	2725	0	0.133633875003912
ENSG00000017797	2725	0	0.133633875003912
ENSG00000018408	2725	0	0.133633875003912
ENSG00000022277	2725	0.0151515151515152	0.133633875003912
ENSG00000022556	2725	0	0.133633875003912
ENSG00000022840	2725	0	0.133633875003912
ENSG00000023228	2725	0	0.133633875003912
ENSG00000023287	2725	0.0303030303030303	0.133633875003912
ENSG00000023318	2725	0	0.133633875003912
ENSG00000023697	2725	0.0303030303030303	0.133633875003912
ENSG00000023734	2725	0	0.133633875003912
ENSG00000025770	2725	0.0151515151515152	0.133633875003912
ENSG00000025796	2725	0.0303030303030303	0.133633875003912
ENSG00000025800	2725	0	0.133633875003912
ENSG00000028116	2725	0	0.133633875003912
ENSG00000029363	2725	0	0.133633875003912
ENSG00000030066	2725	0	0.133633875003912
ENSG00000030110	2725	0	0.133633875003912
ENSG00000030582	2725	0.0303030303030303	0.133633875003912
ENSG00000031698	2725	0	0.133633875003912
ENSG00000033050	2725	0.0151515151515152	0.133633875003912
ENSG00000034510	2725	0	0.133633875003912
ENSG00000034713	2725	0	0.133633875003912
ENSG00000035141	2725	0	0.133633875003912
ENSG00000035403	2725	0.0151515151515152	0.133633875003912
ENSG00000035681	2725	0.0151515151515152	0.133633875003912
ENSG00000036054	2725	0	0.133633875003912
ENSG00000037241	2725	0	0.133633875003912
ENSG00000037474	2725	0	0.133633875003912
ENSG00000038274	2725	0	0.133633875003912
ENSG00000039068	2725	0	0.133633875003912
ENSG00000041357	2725	0	0.133633875003912
ENSG00000042493	2725	0.0757575757575758	0.133633875003912
ENSG00000042753	2725	0	0.133633875003912
ENSG00000044115	2725	0	0.133633875003912
