chr	cell	z	score	p	p.adj	monosomy
E5.26	12	E5.15.1836	8.31284146147835	1.29351861123303	7.29744852056301e-12	2.15128782386197e-09	FALSE
E5.30	16	E5.15.1836	-4.03188880066392	0.784871518653498	0.000145896947550647	0.00398244630906766	TRUE
E5.33	19	E5.15.1836	4.07440772362489	1.3968877118037	0.000126153102834001	0.0035084844071192	FALSE
E5.173	6	E5.15.1843	3.74751687632624	1.22431628126395	0.000377944499418304	0.00944220664648442	FALSE
E5.232	2	E5.6.361	10.6530456984688	1.4592549631523	5.6008790409262e-16	4.12784785316261e-13	FALSE
E5.235	22	E5.6.361	-5.60369416652085	0.456957161986196	4.4267932193719e-07	2.83699704580616e-05	TRUE
E5.241	8	E5.6.361	4.40029886226031	1.4179515095718	4.0381739630217e-05	0.00132272631588755	FALSE
E5.244	10	E5.6.382	-4.28291762229834	0.752733719870145	6.11629175910158e-05	0.00183988041896239	TRUE
E5.254	2	E5.6.382	-13.068174286804	0.429664973548848	5.63349529675741e-20	8.30377206742043e-17	TRUE
E5.420	10	E5.7.681	-6.95290118434734	0.589579252635379	1.96419341753904e-09	2.08646843770454e-07	TRUE
E5.825	19	E5.7.701	3.23300649117267	1.31409529917892	0.00191371334380794	0.0402973352681844	FALSE
E5.904	10	E5.7.705	-4.46297516349674	0.741730958421201	3.22837537986884e-05	0.00108150575225606	TRUE
E5.929	13	E5.7.706	3.37436447580458	1.32588334288945	0.00124250693213194	0.0286164877806637	FALSE
E5.934	18	E5.7.706	3.13975942958675	1.26230856116519	0.00252926447759226	0.050380214053662	FALSE
E5.1003	20	E5.early.31.3060	-6.23811481639927	0.708580318887994	3.57336543176796e-08	2.92618924801443e-06	TRUE
E5.1047	20	E5.early.31.3064	5.34717838234916	1.23420263621524	1.19768292607969e-06	6.78994089631331e-05	FALSE
E5.1184	5	E5.early.36.3215	-5.51845400048061	0.563582539426776	6.17216485182349e-07	3.63910839663513e-05	TRUE
E5.1188	9	E5.early.36.3215	7.8749316152828	1.52987419325933	4.43344002829545e-11	8.16861325213436e-09	FALSE
E5.1206	5	E5.early.36.3216	-4.73021516878001	0.635530131325478	1.22381999037927e-05	0.000515403047376872	TRUE
E5.1210	9	E5.early.36.3216	7.00687910724505	1.46670449091256	1.57484639352241e-09	1.93443632004336e-07	FALSE
E5.1228	5	E5.early.36.3217	-4.95883300834509	0.614662721144348	5.23881402219794e-06	0.000266276271335164	TRUE
E5.1232	9	E5.early.36.3217	8.16443035884276	1.5509415241997	1.3446313558995e-11	3.30331103099311e-09	FALSE
E5.1250	5	E5.early.36.3218	-4.66951581458583	0.641070549011645	1.52874614209022e-05	0.000609019409038105	TRUE
E5.1254	9	E5.early.36.3218	8.47155217789267	1.57329131722943	3.79820235935956e-12	1.399637569424e-09	FALSE
E5.1264	18	E5.early.36.3219	-2.87973749464376	0.78429124544829	0.00536108870959766	0.0918865669528715	TRUE
E5.1271	4	E5.early.36.3219	-3.24228678222507	0.751855210378402	0.00186083376727012	0.0402973352681844	TRUE
