chr	cell	z	score	p	p.adj	monosomy
E7.64	7	E7.10.748	6.09336669873512	1.33049163949139	2.72596737944589e-09	2.91398923202818e-07	FALSE
E7.77	19	E7.10.749	2.80718519776273	1.30269920808486	0.00525658810547583	0.0889035124208061	FALSE
E7.86	7	E7.10.749	9.73894942229358	1.52502179944506	3.81100426442019e-20	2.8887412324305e-17	FALSE
E7.108	7	E7.10.750	4.92122524249946	1.26794557147972	1.28645041589228e-06	7.77277070123898e-05	FALSE
E7.152	7	E7.10.756	3.93019644880091	1.21506376783526	0.00010092925009128	0.0034070772763607	FALSE
E7.183	15	E7.11.833	8.96784085540767	1.60942155906144	1.42031745934232e-17	7.40162935999768e-15	FALSE
E7.475	20	E7.12.859	5.19655163370309	1.25900144299599	3.32878904180786e-07	2.33929037505022e-05	FALSE
E7.490	14	E7.12.862	4.34244449952442	1.24901181828648	1.81200674855993e-05	0.000807941832593193	FALSE
E7.520	21	E7.12.866	11.0916217328956	2.71777748685388	6.12454198862471e-25	7.29520444302183e-22	FALSE
E7.529	1	E7.12.876	10.7752946570633	1.3789201552527	8.6601944695559e-24	9.02608768589464e-21	FALSE
E7.540	2	E7.12.876	4.97015200700678	1.24842847427088	1.01613160091733e-06	6.27592984329535e-05	FALSE
E7.601	15	E7.13.881	3.41366584801874	1.22590654690087	0.000710350763833796	0.016922584768132	FALSE
E7.613	6	E7.13.881	7.72685419936457	1.69580396164409	1.00303819483658e-13	2.88390774777496e-11	FALSE
E7.635	6	E7.13.885	3.12682544023682	1.30516897538921	0.00190385106672926	0.0383511861541023	FALSE
E7.645	15	E7.13.886	3.43113258803384	1.22711262287082	0.000667446705223318	0.0161778215934652	FALSE
E7.657	6	E7.13.886	6.67980519457411	1.60688843632636	8.57733783480499e-11	1.37534313205008e-08	FALSE
E7.669	17	E7.13.887	-3.24286015108717	0.781057314276901	0.00128856300721977	0.0277215601316097	TRUE
E7.711	15	E7.13.889	5.71492478254747	1.38480815642637	2.22838855905587e-08	1.99788212961374e-06	FALSE
E7.777	15	E7.14.893	7.84019634773878	1.53155786256356	4.63286969711043e-14	1.37960241194667e-11	FALSE
E7.799	15	E7.14.898	6.69650374794562	1.45258604753538	7.74561361966653e-11	1.2711166041027e-08	FALSE
E7.810	5	E7.14.898	3.44252620436109	1.22516009280124	0.000640777114128723	0.01562222098715	FALSE
E7.821	15	E7.14.899	6.57198362556629	1.44398795039494	1.6495824146745e-10	2.33122341924678e-08	FALSE
E7.843	15	E7.14.900	7.86300218025595	1.53313260212857	3.96225033298948e-14	1.22360160283209e-11	FALSE
E7.865	15	E7.14.901	7.93179611857715	1.53788281400644	2.46760170928414e-14	8.22994522080445e-12	FALSE
