chr	cell	z	score	p	p.adj	monosomy
lateICME7.1429	8	E7.17.1302	-4.77968230772365	0.569350349901568	2.71593307254725e-06	0.000172059389651558	TRUE
lateICME7.1435	13	E7.17.1303	-3.42449617215763	0.521538318054553	0.00069884965457932	0.017199745815222	TRUE
lateICME7.1447	4	E7.17.1303	-2.86808699209149	0.562965532210533	0.00441281728503936	0.0712087166609418	TRUE
lateICME7.1451	8	E7.17.1303	-5.08468756329971	0.537973256170595	6.38418567685951e-07	4.80006575835965e-05	TRUE
lateICME7.1457	13	E7.17.1304	-2.83687961103916	0.621307378061375	0.00485568902691721	0.0757896828819202	TRUE
lateICME7.1473	8	E7.17.1304	-4.83946636952572	0.563200127646418	2.05626449828046e-06	0.000135278477858028	TRUE
lateICME7.1474	9	E7.17.1304	4.97977238126913	1.25587443847749	1.05887941919079e-06	7.54672186052439e-05	FALSE
lateICME7.1479	13	E7.17.1305	-3.75978607138354	0.464610790328173	0.000203231174641459	0.00655899857026823	TRUE
lateICME7.1491	4	E7.17.1305	-3.39844316202522	0.468865136131528	0.000766250299971402	0.0182671935623844	TRUE
lateICME7.1495	8	E7.17.1305	-4.80249015113948	0.567004017084095	2.44319443774797e-06	0.000159203203267349	TRUE
lateICME7.1501	13	E7.17.1306	-3.32192181425104	0.538954007036608	0.00100091676431559	0.0225272121758134	TRUE
lateICME7.1513	4	E7.17.1306	-3.06151657770552	0.52864557582735	0.00239498408874571	0.0442378400116383	TRUE
lateICME7.1517	8	E7.17.1306	-4.25946940781807	0.622866702888895	2.72055131181214e-05	0.00127493233393279	TRUE
lateICME7.1523	13	E7.17.1307	-4.0669552187788	0.412457772311814	6.04624661996871e-05	0.00244783546590686	TRUE
lateICME7.1535	4	E7.17.1307	-3.75509769596859	0.405584392340732	0.000206903520210387	0.00662936315572397	TRUE
lateICME7.1539	8	E7.17.1307	-6.11336302456506	0.43214935387123	2.92949036996889e-09	4.55535752530162e-07	TRUE
lateICME7.1545	13	E7.17.1308	-3.3571296685896	0.53297620660578	0.000885679449835234	0.0203696421245592	TRUE
lateICME7.1554	21	E7.17.1308	2.8341058104483	1.41701698604852	0.00489694568664526	0.0759748353469997	FALSE
lateICME7.1557	4	E7.17.1308	-3.3353640023943	0.480057188269513	0.000955365349782092	0.0217886990773636	TRUE
lateICME7.1559	6	E7.17.1308	4.18782194594305	1.4175197383992	3.67484489538705e-05	0.00162214766285408	FALSE
lateICME7.1561	8	E7.17.1308	-4.01949453820425	0.647553864304293	7.32833333968468e-05	0.00283279416441371	TRUE
lateICME7.1567	13	E7.17.1309	-3.17766519786777	0.563446759570555	0.00163437445826202	0.032937511421886	TRUE
lateICME7.1579	4	E7.17.1309	-3.36959761569593	0.473983163390532	0.000847924816993301	0.0199364316077944	TRUE
lateICME7.1583	8	E7.17.1309	-5.71260279522572	0.473377139457667	2.60926516774585e-08	3.13203373293282e-06	TRUE
lateICME7.1589	13	E7.17.1310	-3.54698977468715	0.50074062038933	0.000449878855676359	0.0124618264394237	TRUE
lateICME7.1601	4	E7.17.1310	-3.35686563185596	0.476242182499072	0.000886495665213901	0.0203696421245592	TRUE
lateICME7.1611	13	E7.17.1311	-3.47746610794899	0.512544765026594	0.000578533314797695	0.0149370752447012	TRUE
lateICME7.1623	4	E7.17.1311	-3.41622165810994	0.465710721008064	0.000719631711037561	0.0173983044767455	TRUE
lateICME7.1628	9	E7.17.1311	-6.53117936965247	0.660086695997348	2.67030640445895e-10	5.56287088308201e-08	TRUE
lateICME7.1633	13	E7.17.1312	-3.15269659378859	0.567686078751622	0.00177599478482416	0.035001399493454	TRUE
lateICME7.1645	4	E7.17.1312	-2.8459224513284	0.566898157459291	0.00472337341945751	0.0744843264882608	TRUE
lateICME7.1649	8	E7.17.1312	-4.9638747735043	0.550401744401565	1.14243128616116e-06	8.05826274218007e-05	TRUE
lateICME7.1655	13	E7.17.1313	-3.42583832007954	0.521310440139907	0.000695532048351298	0.0171798926888794	TRUE
lateICME7.1667	4	E7.17.1313	-2.94004254769307	0.550198552836956	0.00352845750922367	0.0596091513039713	TRUE
lateICME7.1671	8	E7.17.1313	-5.1922786856062	0.526904933026932	3.76750308832446e-07	3.06872096789476e-05	TRUE
lateICME7.1677	13	E7.17.1314	-3.17090893132807	0.564593878978724	0.00167162800091759	0.0334423356206963	TRUE
lateICME7.1689	4	E7.17.1314	-3.106403439531	0.520681359106632	0.00206896449925508	0.0394313512643546	TRUE
lateICME7.1693	8	E7.17.1314	-4.30366920883837	0.61831969501231	2.25535705335609e-05	0.00111819948978713	TRUE
