chr	cell	z	score	p	p.adj	monosomy
lateICME6.1	1	E6.1.72	0.46155075588589	1.01489278569824	0.644713233098543	1	FALSE
lateICME6.2	10	E6.1.72	1.75704177621079	1.0928071674191	0.0798551981219957	0.577718479406821	FALSE
lateICME6.3	11	E6.1.72	5.31189567848567	1.27504761939708	2.02076277557041e-07	2.53481646409271e-05	FALSE
lateICME6.4	12	E6.1.72	-1.36204707373044	0.946997830977679	0.174129216321731	0.76659990017274	TRUE
lateICME6.5	13	E6.1.72	-1.31231989900846	0.910989752651947	0.190341132984126	0.793281258045166	TRUE
lateICME6.6	14	E6.1.72	-0.188535634421646	0.992920022958214	0.850574817982188	1	TRUE
lateICME6.7	15	E6.1.72	7.58131949605126	1.42704549466481	3.63611022186294e-13	9.28506717368573e-11	FALSE
lateICME6.8	16	E6.1.72	2.71603500225661	1.20346310929289	0.00696142667813083	0.13127980202719	FALSE
lateICME6.9	17	E6.1.72	1.8956964949845	1.09798427651343	0.0588898865404082	0.497530686906745	FALSE
lateICME6.10	18	E6.1.72	-3.71658873673565	0.706049877520783	0.000237813074276754	0.0105512989076805	TRUE
lateICME6.11	19	E6.1.72	3.32590048228875	1.39209486397037	0.000982502683681557	0.0315017676606419	FALSE
lateICME6.12	2	E6.1.72	5.54585155068297	1.22909044851677	6.079313567763e-08	8.52295921755009e-06	FALSE
lateICME6.13	20	E6.1.72	0.136052223611468	0.995449764280428	0.891864488402821	1	FALSE
lateICME6.14	21	E6.1.72	0.00195077262879139	1.00455023571957	0.998444710158629	1	FALSE
lateICME6.15	22	E6.1.72	2.9933537092792	1.2596251334359	0.00297146014648465	0.0740276656702621	FALSE
lateICME6.16	3	E6.1.72	-4.31776296346861	0.781345726484826	2.09753659794555e-05	0.00146182127561328	TRUE
lateICME6.17	4	E6.1.72	-3.85876472143819	0.727931407973967	0.000137529733027855	0.00677592104958612	TRUE
lateICME6.18	5	E6.1.72	-2.75633806343519	0.910421013475322	0.0061762905057152	0.123698815450599	TRUE
lateICME6.19	6	E6.1.72	-3.66611843026472	0.80524531467949	0.00028768956664864	0.0118900601244958	TRUE
lateICME6.20	7	E6.1.72	0.2319428530401	1.00864165155679	0.816728825393306	1	FALSE
lateICME6.21	8	E6.1.72	-3.4020001348168	0.794654003928795	0.000752773414082801	0.0262552678570343	TRUE
lateICME6.22	9	E6.1.72	-0.692090113437582	0.978788721036568	0.489376417339093	0.997805123438006	TRUE
lateICME6.23	1	E6.1.73	-0.919985397515043	0.973375980439018	0.358264824983219	0.949171519798739	TRUE
lateICME6.24	10	E6.1.73	-0.040678006318612	0.995592086807039	0.967577649953937	1	TRUE
lateICME6.25	11	E6.1.73	-1.61439620381098	0.918372457974204	0.107414922769256	0.651369886693955	TRUE
lateICME6.26	12	E6.1.73	-0.109176058042152	0.99921144470097	0.913130434728407	1	TRUE
lateICME6.27	13	E6.1.73	0.093972365055546	1.01651017368693	0.925189194428026	1	FALSE
lateICME6.28	14	E6.1.73	1.28265413914598	1.06510369231822	0.200530121208048	0.806406280448561	FALSE
lateICME6.29	15	E6.1.73	4.53814143490076	1.25674318040458	8.00767510498422e-06	0.000650623602279968	FALSE
lateICME6.30	16	E6.1.73	4.55187824714643	1.34512147225455	7.53158712728604e-06	0.000626172650698781	FALSE
lateICME6.31	17	E6.1.73	2.72893166900716	1.14723236301363	0.00670090377592535	0.130466330098726	FALSE
lateICME6.32	18	E6.1.73	-1.69232538012923	0.863986876350876	0.0915453116482529	0.610586733474821	TRUE
lateICME6.33	19	E6.1.73	3.43512697189431	1.40491285169483	0.000669351967219812	0.0240164969837773	FALSE
lateICME6.34	2	E6.1.73	4.59956681455383	1.18998590080255	6.08097623665782e-06	0.000517606905858374	FALSE
lateICME6.35	20	E6.1.73	2.3135689740825	1.11321069706474	0.0213169328083716	0.280176598492384	FALSE
lateICME6.36	21	E6.1.73	0.149065796257209	1.0213999850331	0.88159445378354	1	FALSE
lateICME6.37	22	E6.1.73	3.5537465364415	1.30995368604305	0.000436252059144765	0.0171384737521158	FALSE
lateICME6.38	3	E6.1.73	-2.67067076895366	0.862579667015766	0.00795201228218744	0.145043081167449	TRUE
lateICME6.39	4	E6.1.73	-3.20929822919995	0.773865703077299	0.00146376179512636	0.0425124738223969	TRUE
lateICME6.40	5	E6.1.73	-3.39332250844778	0.888952594368304	0.000776176437183843	0.0268099590621472	TRUE
lateICME6.41	6	E6.1.73	-1.43866122510626	0.924317276118356	0.151211805928574	0.736602020282968	TRUE
lateICME6.42	7	E6.1.73	-0.425685232615882	0.982590094657238	0.670619846019815	1	TRUE
lateICME6.43	8	E6.1.73	-1.98735035511416	0.877971144966702	0.0477252309915689	0.45196741932413	TRUE
lateICME6.44	9	E6.1.73	-0.308115898551323	1.00078855529903	0.758192133372845	1	TRUE
lateICME6.45	1	E6.1.74	-2.25357489262173	0.933300029311868	0.0248910840885818	0.312230265321684	TRUE
lateICME6.46	10	E6.1.74	0.269397494752304	1.01236000310043	0.787795296087653	1	FALSE
lateICME6.47	11	E6.1.74	-2.47535612564576	0.874036610695815	0.0138213265297466	0.207275330070039	TRUE
lateICME6.48	12	E6.1.74	1.68068321807593	1.07380413596132	0.0937882079377192	0.615781163227449	FALSE
lateICME6.49	13	E6.1.74	1.41809227306121	1.11586483399758	0.157124892443247	0.743742897999958	FALSE
lateICME6.50	14	E6.1.74	0.503102154164308	1.02685511029036	0.615234282139718	1	FALSE
lateICME6.51	15	E6.1.74	2.01673473381921	1.11564023218502	0.0445478183295274	0.429268060722535	FALSE
lateICME6.52	16	E6.1.74	1.22233804141436	1.08820562920972	0.222468282432288	0.829503459077155	FALSE
lateICME6.53	17	E6.1.74	-0.310900029622981	0.967564126353099	0.756076542275627	1	TRUE
lateICME6.54	18	E6.1.74	0.0919448955093937	1.00319914412049	0.92679864269479	1	FALSE
lateICME6.55	19	E6.1.74	0.000386677929203884	1.00183792835194	0.999691713624705	1	FALSE
lateICME6.56	2	E6.1.74	3.47193760559073	1.14338742095575	0.00058682040916496	0.0214069690078034	FALSE
lateICME6.57	20	E6.1.74	-1.05728028256271	0.930913889174752	0.291171343313494	0.90786692812585	TRUE
lateICME6.58	21	E6.1.74	-0.746383250901012	0.918840153987156	0.455977152669322	0.991254679715918	TRUE
lateICME6.59	22	E6.1.74	1.35244370702932	1.11225596422288	0.177176559919761	0.76925606999026	FALSE
lateICME6.60	3	E6.1.74	-2.95614375554432	0.848500251368529	0.00334368869896515	0.0796912473253361	TRUE
