ngenes	zeros	residual
ENSG00000000419	3194	0	0.0569119529427243
ENSG00000001036	3194	0.022508038585209	0.0569119529427243
ENSG00000001630	3194	0.00964630225080386	0.0569119529427243
ENSG00000002549	3194	0.0289389067524116	0.0569119529427243
ENSG00000002834	3194	0.00321543408360129	0.0569119529427243
ENSG00000003056	3194	0.00321543408360129	0.0569119529427243
ENSG00000003756	3194	0.00321543408360129	0.0569119529427243
ENSG00000003989	3194	0	0.0569119529427243
ENSG00000004059	3194	0.00964630225080386	0.0569119529427243
ENSG00000004142	3194	0	0.0569119529427243
ENSG00000004455	3194	0	0.0569119529427243
ENSG00000004478	3194	0	0.0569119529427243
ENSG00000004487	3194	0.00321543408360129	0.0569119529427243
ENSG00000004534	3194	0	0.0569119529427243
ENSG00000004779	3194	0	0.0569119529427243
ENSG00000004864	3194	0.00643086816720257	0.0569119529427243
ENSG00000004897	3194	0.00964630225080386	0.0569119529427243
ENSG00000005075	3194	0.00321543408360129	0.0569119529427243
ENSG00000005156	3194	0.022508038585209	0.0569119529427243
ENSG00000005175	3194	0.00964630225080386	0.0569119529427243
ENSG00000005194	3194	0.00643086816720257	0.0569119529427243
ENSG00000005801	3194	0.00643086816720257	0.0569119529427243
ENSG00000006007	3194	0.00643086816720257	0.0569119529427243
ENSG00000006125	3194	0	0.0569119529427243
ENSG00000006327	3194	0.022508038585209	0.0569119529427243
ENSG00000006451	3194	0.00643086816720257	0.0569119529427243
ENSG00000006453	3194	0	0.0569119529427243
ENSG00000006625	3194	0.00643086816720257	0.0569119529427243
ENSG00000006634	3194	0.00964630225080386	0.0569119529427243
ENSG00000006652	3194	0.00321543408360129	0.0569119529427243
ENSG00000006695	3194	0.0160771704180064	0.0569119529427243
ENSG00000006712	3194	0.0160771704180064	0.0569119529427243
ENSG00000006744	3194	0.00321543408360129	0.0569119529427243
ENSG00000007062	3194	0.0128617363344051	0.0569119529427243
ENSG00000007080	3194	0	0.0569119529427243
